START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2016-2-11 20:36,2016-2-11 20:51,Business,Morrisville,Cary,6.1,Temporary Site
2016-2-12 8:21,2016-2-12 8:42,Business,Cary,Durham,8.5,Temporary Site
2016-2-12 10:45,2016-2-12 10:52,Business,Durham,Morrisville,2.6,Temporary Site
2016-2-12 11:14,2016-2-12 11:35,Business,Morrisville,Raleigh,17,Customer Visit
2016-2-12 13:02,2016-2-12 13:36,Business,Raleigh,Cary,18,Meeting
2016-2-12 14:49,2016-2-12 15:06,Business,Cary,Morrisville,8.4,Meeting
2016-2-12 15:33,2016-2-12 16:06,Business,Morrisville,Cary,11.5,Customer Visit
2016-2-13 14:21,2016-2-13 14:41,Business,Cary,Morrisville,8.9,Meeting
2016-2-13 23:45,2016-2-14 0:01,Personal,East Elmhurst,Jackson Heights,2.7,
2016-2-14 0:50,2016-2-14 1:00,Personal,Jackson Heights,East Elmhurst,1.8,
2016-2-14 14:07,2016-2-14 14:40,Business,East Elmhurst,New York,8.1,Meeting
2016-2-14 14:46,2016-2-14 15:03,Business,Midtown,Midtown West,2,Meeting
2016-2-14 16:35,2016-2-14 17:02,Business,New York,Long Island City,13,Meeting
2016-2-14 17:06,2016-2-14 17:29,Business,Long Island City,Jamaica,13.9,Meeting
2016-2-16 3:21,2016-2-16 4:13,Business,Katunayaka,Unknown Location,43.7,Customer Visit
2016-2-16 8:29,2016-2-16 9:34,Business,Unknown Location,Colombo,14.1,
2016-2-16 10:31,2016-2-16 10:41,Business,Colombo,Colombo,2.6,
2016-2-16 11:32,2016-2-16 12:02,Business,Colombo,Colombo,4.5,
2016-2-16 12:39,2016-2-16 12:42,Business,Colombo,Colombo,1.7,
2016-2-16 13:43,2016-2-16 13:55,Business,Colombo,Colombo,1.8,Temporary Site
2016-2-16 16:34,2016-2-16 17:10,Business,Colombo,Colombo,6,
2016-2-16 17:17,2016-2-16 17:26,Business,Colombo,Nugegoda,1.1,Meal/Entertain
2016-2-16 17:40,2016-2-16 17:44,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies
2016-2-17 13:18,2016-2-17 14:04,Business,Unknown Location,Colombo,14.7,Temporary Site
2016-2-17 15:17,2016-2-17 15:22,Business,Colombo,Colombo,1.7,Meal/Entertain
2016-2-17 15:33,2016-2-17 16:17,Business,Colombo,Katunayaka,21.4,Temporary Site
2016-2-17 16:38,2016-2-17 16:43,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies
2016-2-18 8:19,2016-2-18 8:27,Business,Unknown Location,Unknown Location,23.5,Temporary Site
2016-2-18 14:03,2016-2-18 14:45,Business,Unknown Location,Islamabad,12.7,Temporary Site
2016-2-18 15:16,2016-2-18 15:31,Business,Islamabad,Unknown Location,6,Temporary Site
2016-2-18 18:44,2016-2-18 18:58,Business,Unknown Location,Islamabad,5.2,Customer Visit
2016-2-18 19:27,2016-2-18 20:08,Business,Islamabad,Unknown Location,10,Meeting
2016-2-19 9:02,2016-2-19 9:14,Business,Unknown Location,Unknown Location,18.3,Meeting
2016-2-19 9:21,2016-2-19 9:51,Business,Unknown Location,Unknown Location,11.2,Meeting
2016-2-19 10:21,2016-2-19 10:48,Business,Unknown Location,Islamabad,7.6,Meeting
2016-2-19 11:20,2016-2-19 11:26,Personal,Islamabad,Islamabad,1.5,
2016-2-19 11:45,2016-2-19 11:50,Personal,Islamabad,Islamabad,1,
2016-2-19 12:09,2016-2-19 12:27,Business,Islamabad,Unknown Location,7.3,Temporary Site
2016-2-19 16:26,2016-2-19 16:45,Business,Unknown Location,Islamabad,3.5,
2016-2-19 17:09,2016-2-19 17:20,Business,Islamabad,Islamabad,4.2,
2016-2-19 20:08,2016-2-19 20:30,Personal,Islamabad,Unknown Location,13.6,
2016-2-19 20:34,2016-2-19 20:51,Personal,Unknown Location,Unknown Location,2.5,
2016-2-20 7:59,2016-2-20 8:32,Personal,Unknown Location,Islamabad,14.4,
2016-2-20 10:48,2016-2-20 10:56,Personal,Islamabad,Islamabad,3,
2016-2-20 11:45,2016-2-20 11:53,Personal,Islamabad,Islamabad,1.5,
2016-2-20 12:41,2016-2-20 13:17,Business,Islamabad,R?walpindi,18.4,
2016-2-20 14:50,2016-2-20 15:54,Business,R?walpindi,R?walpindi,23.1,Meeting
2016-2-20 16:59,2016-2-20 17:54,Personal,R?walpindi,Unknown Location,16.5,
2016-2-20 18:00,2016-2-20 18:03,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies
2016-2-20 19:28,2016-2-20 19:49,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies
2016-2-21 9:07,2016-2-21 9:46,Business,Unknown Location,Islamabad,14.5,
2016-2-21 11:39,2016-2-21 11:43,Business,Unknown Location,Islamabad,2.4,Errand/Supplies
2016-2-21 11:47,2016-2-21 12:01,Business,Islamabad,Islamabad,4.6,Errand/Supplies
2016-2-21 12:13,2016-2-21 12:35,Business,Islamabad,Unknown Location,8.8,Meal/Entertain
2016-2-21 12:51,2016-2-21 13:12,Business,Unknown Location,Unknown Location,8.3,Temporary Site
2016-2-21 13:33,2016-2-21 14:30,Business,Unknown Location,Unknown Location,22.7,Temporary Site
2016-2-21 14:36,2016-2-21 15:03,Business,Unknown Location,Islamabad,13,Temporary Site
2016-2-21 15:14,2016-2-21 15:31,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site
2016-2-21 15:36,2016-2-21 15:41,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain
2016-2-21 16:04,2016-2-21 16:32,Business,Unknown Location,Unknown Location,9.7,
2016-2-21 23:15,2016-2-21 23:52,Business,Unknown Location,R?walpindi,20,Meeting
2016-2-22 21:54,2016-2-22 22:09,Business,Morrisville,Cary,8.1,Customer Visit
2016-2-24 14:30,2016-2-24 14:35,Business,Whitebridge,Preston,1.5,
2016-2-24 15:19,2016-2-24 15:25,Business,Preston,Whitebridge,1.7,Errand/Supplies
2016-2-25 16:27,2016-2-25 16:35,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies
2016-2-25 16:47,2016-2-25 17:02,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies
2016-2-25 17:16,2016-2-25 17:36,Business,Whitebridge,Tanglewood,6,Meal/Entertain
2016-2-25 18:22,2016-2-25 18:39,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain
2016-2-26 9:06,2016-2-26 9:29,Business,Whitebridge,Westpark Place,6.3,
2016-2-26 11:05,2016-2-26 11:11,Personal,Westpark Place,Whitebridge,1.7,
2016-2-26 11:35,2016-2-26 11:59,Business,Cary,Durham,10.6,Meeting
2016-2-26 13:01,2016-2-26 13:24,Business,Durham,Cary,9.9,Meeting
